State,Sightseeing Place,Category
Assam,Waterfall Point 630,Religious
Andhra Pradesh,Temple Point 631,Leisure
Meghalaya,Lake Point 632,Wildlife
Sikkim,Waterfall Point 633,Wildlife
Arunachal Pradesh,Beach Point 634,Religious
Nagaland,Fort Point 635,Viewpoint
Mizoram,Waterfall Point 636,Nature
Haryana,Hilltop Point 637,Wildlife
Chhattisgarh,Cave Point 638,Nature
Punjab,Monastery Point 639,Historical
Sikkim,Fort Point 640,Viewpoint
Mizoram,Sanctuary Point 641,Wildlife
Bihar,Lake Point 642,Cultural
Assam,Waterfall Point 643,Historical
Assam,Hilltop Point 644,Leisure
Manipur,Fort Point 645,Cultural
Punjab,Beach Point 646,Cultural
Manipur,Sanctuary Point 647,Adventure
Goa,Cave Point 648,Wildlife
Mizoram,Park Point 649,Adventure
Assam,Sanctuary Point 650,Historical
Sikkim,Park Point 651,Historical
Haryana,Park Point 652,Nature
Sikkim,Cave Point 653,Nature
Punjab,Monastery Point 654,Leisure
Tripura,Waterfall Point 655,Historical
Arunachal Pradesh,Beach Point 656,Historical
Mizoram,Waterfall Point 657,Cultural
Haryana,Fort Point 658,Nature
Assam,Waterfall Point 659,Cultural
Arunachal Pradesh,Waterfall Point 660,Wildlife
Bihar,Monastery Point 661,Adventure
Mizoram,Cave Point 662,Religious
Mizoram,Monastery Point 663,Nature
Mizoram,Monastery Point 664,Wildlife
Goa,Beach Point 665,Cultural
Andhra Pradesh,Hilltop Point 666,Adventure
Tripura,Temple Point 667,Adventure
Assam,Cave Point 668,Cultural
Tripura,Hilltop Point 669,Leisure
Manipur,Park Point 670,Viewpoint
Mizoram,Monastery Point 671,Wildlife
Andhra Pradesh,Beach Point 672,Cultural
Nagaland,Beach Point 673,Cultural
Mizoram,Temple Point 674,Religious
Andhra Pradesh,Temple Point 675,Wildlife
Arunachal Pradesh,Monastery Point 676,Adventure
Haryana,Waterfall Point 677,Religious
Andhra Pradesh,Sanctuary Point 678,Religious
Bihar,Monastery Point 679,Wildlife
Andhra Pradesh,Monastery Point 680,Adventure
Haryana,Monastery Point 681,Historical
Andhra Pradesh,Temple Point 682,Wildlife
Mizoram,Sanctuary Point 683,Cultural
Mizoram,Park Point 684,Nature
Nagaland,Monastery Point 685,Leisure
Bihar,Monastery Point 686,Wildlife
Haryana,Hilltop Point 687,Religious
Sikkim,Fort Point 688,Historical
Punjab,Park Point 689,Wildlife
Sikkim,Monastery Point 690,Viewpoint
Haryana,Cave Point 691,Nature
Sikkim,Park Point 692,Nature
Andhra Pradesh,Waterfall Point 693,Historical
Chhattisgarh,Temple Point 694,Nature
Nagaland,Fort Point 695,Historical
Andhra Pradesh,Fort Point 696,Wildlife
Chhattisgarh,Fort Point 697,Adventure
Assam,Park Point 698,Wildlife
Andhra Pradesh,Sanctuary Point 699,Religious
Goa,Temple Point 700,Cultural
Bihar,Cave Point 701,Historical
Assam,Beach Point 702,Nature
Punjab,Beach Point 703,Religious
Meghalaya,Beach Point 704,Leisure
Bihar,Temple Point 705,Adventure
Andhra Pradesh,Waterfall Point 706,Viewpoint
Arunachal Pradesh,Monastery Point 707,Viewpoint
Mizoram,Monastery Point 708,Cultural
Tripura,Waterfall Point 709,Historical
Goa,Cave Point 710,Viewpoint
Sikkim,Temple Point 711,Adventure
Tripura,Temple Point 712,Viewpoint
Goa,Waterfall Point 713,Religious
Bihar,Cave Point 714,Leisure
Nagaland,Waterfall Point 715,Wildlife
Haryana,Waterfall Point 716,Viewpoint
Meghalaya,Cave Point 717,Nature
Bihar,Fort Point 718,Viewpoint
Meghalaya,Waterfall Point 719,Wildlife
Haryana,Beach Point 720,Religious
Andhra Pradesh,Fort Point 721,Leisure
Manipur,Park Point 722,Adventure
Andhra Pradesh,Monastery Point 723,Adventure
Arunachal Pradesh,Hilltop Point 724,Leisure
Haryana,Cave Point 725,Viewpoint
Mizoram,Fort Point 726,Historical
Andhra Pradesh,Sanctuary Point 727,Leisure
Nagaland,Sanctuary Point 728,Religious
Tripura,Lake Point 729,Nature
Meghalaya,Fort Point 730,Cultural
Nagaland,Hilltop Point 731,Wildlife
Manipur,Beach Point 732,Religious
Andhra Pradesh,Monastery Point 733,Religious
Assam,Waterfall Point 734,Religious
Chhattisgarh,Temple Point 735,Historical
Mizoram,Sanctuary Point 736,Viewpoint
Assam,Waterfall Point 737,Historical
Punjab,Monastery Point 738,Adventure
Arunachal Pradesh,Beach Point 739,Viewpoint
Arunachal Pradesh,Park Point 740,Adventure
Chhattisgarh,Waterfall Point 741,Viewpoint
Goa,Park Point 742,Nature
Mizoram,Temple Point 743,Cultural
Manipur,Fort Point 744,Nature
Bihar,Fort Point 745,Historical
Chhattisgarh,Temple Point 746,Adventure
Assam,Waterfall Point 747,Adventure
Tripura,Sanctuary Point 748,Historical
Goa,Waterfall Point 749,Viewpoint
Punjab,Park Point 750,Adventure
Meghalaya,Temple Point 751,Viewpoint
Manipur,Temple Point 752,Wildlife
Mizoram,Temple Point 753,Historical
Chhattisgarh,Sanctuary Point 754,Religious
Assam,Cave Point 755,Historical
Mizoram,Sanctuary Point 756,Nature
Andhra Pradesh,Fort Point 757,Nature
Meghalaya,Waterfall Point 758,Wildlife
Nagaland,Cave Point 759,Nature
Bihar,Waterfall Point 760,Leisure
Tripura,Sanctuary Point 761,Viewpoint
Tripura,Sanctuary Point 762,Wildlife
Punjab,Temple Point 763,Adventure
Tripura,Hilltop Point 764,Adventure
Tripura,Monastery Point 765,Historical
Sikkim,Hilltop Point 766,Wildlife
Haryana,Monastery Point 767,Leisure
Haryana,Park Point 768,Cultural
Chhattisgarh,Beach Point 769,Leisure
Punjab,Sanctuary Point 770,Nature
Chhattisgarh,Waterfall Point 771,Historical
Sikkim,Lake Point 772,Adventure
Meghalaya,Waterfall Point 773,Wildlife
Mizoram,Waterfall Point 774,Historical
Tripura,Hilltop Point 775,Cultural
Chhattisgarh,Fort Point 776,Viewpoint
Meghalaya,Monastery Point 777,Religious
Nagaland,Monastery Point 778,Adventure
Tripura,Waterfall Point 779,Leisure
Bihar,Lake Point 780,Religious
Meghalaya,Sanctuary Point 781,Religious
Chhattisgarh,Sanctuary Point 782,Wildlife
Punjab,Sanctuary Point 783,Leisure
Chhattisgarh,Beach Point 784,Viewpoint
Goa,Lake Point 785,Wildlife
Meghalaya,Hilltop Point 786,Wildlife
Arunachal Pradesh,Park Point 787,Historical
Arunachal Pradesh,Lake Point 788,Religious
Chhattisgarh,Sanctuary Point 789,Nature
Bihar,Beach Point 790,Adventure
Punjab,Sanctuary Point 791,Historical
Bihar,Beach Point 792,Adventure
Arunachal Pradesh,Sanctuary Point 793,Cultural
Goa,Hilltop Point 794,Cultural
Nagaland,Waterfall Point 795,Wildlife
Meghalaya,Beach Point 796,Viewpoint
Meghalaya,Park Point 797,Religious
Manipur,Fort Point 798,Nature
Haryana,Cave Point 799,Historical
Andhra Pradesh,Sanctuary Point 800,Nature
Nagaland,Beach Point 801,Cultural
Manipur,Waterfall Point 802,Viewpoint
Nagaland,Temple Point 803,Leisure
Mizoram,Hilltop Point 804,Adventure
Meghalaya,Waterfall Point 805,Wildlife
Mizoram,Sanctuary Point 806,Viewpoint
Sikkim,Cave Point 807,Nature
Tripura,Hilltop Point 808,Viewpoint
Nagaland,Sanctuary Point 809,Historical
Sikkim,Fort Point 810,Cultural
Meghalaya,Sanctuary Point 811,Wildlife
Nagaland,Fort Point 812,Historical
Chhattisgarh,Hilltop Point 813,Nature
Manipur,Sanctuary Point 814,Adventure
Tripura,Fort Point 815,Wildlife
Sikkim,Park Point 816,Wildlife
Chhattisgarh,Waterfall Point 817,Wildlife
Goa,Monastery Point 818,Cultural
Arunachal Pradesh,Park Point 819,Viewpoint
Arunachal Pradesh,Monastery Point 820,Wildlife
Mizoram,Waterfall Point 821,Adventure
Assam,Fort Point 822,Religious
Meghalaya,Fort Point 823,Leisure
Arunachal Pradesh,Hilltop Point 824,Leisure
Arunachal Pradesh,Monastery Point 825,Adventure
Goa,Beach Point 826,Cultural
Manipur,Lake Point 827,Religious
Mizoram,Monastery Point 828,Leisure
Andhra Pradesh,Lake Point 829,Leisure
Sikkim,Waterfall Point 830,Historical
Punjab,Fort Point 831,Religious
Manipur,Fort Point 832,Wildlife
Bihar,Park Point 833,Wildlife
Arunachal Pradesh,Monastery Point 834,Nature
Meghalaya,Sanctuary Point 835,Religious
Bihar,Monastery Point 836,Nature
Andhra Pradesh,Park Point 837,Cultural
Nagaland,Fort Point 838,Historical
Chhattisgarh,Fort Point 839,Viewpoint
Mizoram,Sanctuary Point 840,Wildlife
Arunachal Pradesh,Sanctuary Point 841,Wildlife
Nagaland,Temple Point 842,Nature
Chhattisgarh,Beach Point 843,Cultural
Andhra Pradesh,Beach Point 844,Historical
Andhra Pradesh,Beach Point 845,Historical
Meghalaya,Fort Point 846,Religious
Haryana,Temple Point 847,Adventure
Tripura,Cave Point 848,Adventure
Punjab,Fort Point 849,Nature
Tripura,Waterfall Point 850,Viewpoint
Goa,Park Point 851,Historical
Manipur,Cave Point 852,Religious
Chhattisgarh,Lake Point 853,Historical
Nagaland,Fort Point 854,Nature
Nagaland,Monastery Point 855,Wildlife
Arunachal Pradesh,Waterfall Point 856,Leisure
Sikkim,Hilltop Point 857,Wildlife
Andhra Pradesh,Sanctuary Point 858,Cultural
Assam,Fort Point 859,Cultural
Meghalaya,Temple Point 860,Nature
Bihar,Lake Point 861,Cultural
Goa,Temple Point 862,Leisure
Manipur,Park Point 863,Viewpoint
Andhra Pradesh,Monastery Point 864,Leisure
Nagaland,Fort Point 865,Cultural
Haryana,Hilltop Point 866,Religious
Bihar,Beach Point 867,Historical
Haryana,Beach Point 868,Wildlife
Sikkim,Cave Point 869,Wildlife
Punjab,Monastery Point 870,Nature
Haryana,Hilltop Point 871,Leisure
Tripura,Monastery Point 872,Viewpoint
Mizoram,Beach Point 873,Wildlife
Bihar,Hilltop Point 874,Religious
Sikkim,Sanctuary Point 875,Leisure
Tripura,Sanctuary Point 876,Leisure
Nagaland,Hilltop Point 877,Wildlife
Tripura,Hilltop Point 878,Historical
Assam,Hilltop Point 879,Nature
Chhattisgarh,Fort Point 880,Leisure
Punjab,Monastery Point 881,Wildlife
Andhra Pradesh,Fort Point 882,Cultural
Arunachal Pradesh,Monastery Point 883,Leisure
Chhattisgarh,Sanctuary Point 884,Nature
Arunachal Pradesh,Lake Point 885,Viewpoint
Bihar,Monastery Point 886,Viewpoint
Sikkim,Lake Point 887,Religious
Arunachal Pradesh,Monastery Point 888,Leisure
Haryana,Park Point 889,Cultural
Andhra Pradesh,Hilltop Point 890,Religious
Goa,Beach Point 891,Leisure
Chhattisgarh,Hilltop Point 892,Cultural
Punjab,Waterfall Point 893,Historical
Mizoram,Hilltop Point 894,Viewpoint
Mizoram,Hilltop Point 895,Leisure
Tripura,Waterfall Point 896,Nature
Meghalaya,Lake Point 897,Religious
Nagaland,Lake Point 898,Nature
Assam,Park Point 899,Religious
Assam,Waterfall Point 900,Cultural
Assam,Hilltop Point 901,Viewpoint
Tripura,Park Point 902,Religious
Goa,Fort Point 903,Leisure
Andhra Pradesh,Temple Point 904,Viewpoint
Meghalaya,Hilltop Point 905,Adventure
Bihar,Sanctuary Point 906,Nature
Punjab,Cave Point 907,Nature
Punjab,Fort Point 908,Leisure
Andhra Pradesh,Temple Point 909,Viewpoint
Nagaland,Hilltop Point 910,Nature
Assam,Lake Point 911,Nature
Andhra Pradesh,Temple Point 912,Religious
Arunachal Pradesh,Monastery Point 913,Historical
Punjab,Park Point 914,Nature
Meghalaya,Beach Point 915,Wildlife
Punjab,Beach Point 916,Nature
Punjab,Hilltop Point 917,Leisure
Goa,Hilltop Point 918,Cultural
Haryana,Temple Point 919,Historical
Sikkim,Beach Point 920,Adventure
Nagaland,Fort Point 921,Leisure
Mizoram,Sanctuary Point 922,Religious
Arunachal Pradesh,Park Point 923,Cultural
Andhra Pradesh,Park Point 924,Wildlife
Mizoram,Monastery Point 925,Leisure
Andhra Pradesh,Hilltop Point 926,Religious
Andhra Pradesh,Park Point 927,Nature
Sikkim,Hilltop Point 928,Nature
Sikkim,Temple Point 929,Wildlife
Goa,Cave Point 930,Cultural
Mizoram,Cave Point 931,Historical
Chhattisgarh,Park Point 932,Cultural
Tripura,Monastery Point 933,Leisure
Arunachal Pradesh,Sanctuary Point 934,Nature
Goa,Temple Point 935,Religious
Arunachal Pradesh,Waterfall Point 936,Leisure
Haryana,Monastery Point 937,Viewpoint
Tripura,Fort Point 938,Viewpoint
Sikkim,Sanctuary Point 939,Cultural
Assam,Fort Point 940,Leisure
Assam,Sanctuary Point 941,Nature
Goa,Hilltop Point 942,Leisure
Haryana,Temple Point 943,Religious
Andhra Pradesh,Monastery Point 944,Nature
Mizoram,Park Point 945,Wildlife
Meghalaya,Sanctuary Point 946,Leisure
Nagaland,Cave Point 947,Cultural
Bihar,Waterfall Point 948,Adventure
Arunachal Pradesh,Cave Point 949,Nature
Haryana,Waterfall Point 950,Adventure
Manipur,Beach Point 951,Cultural
Manipur,Hilltop Point 952,Leisure
Arunachal Pradesh,Hilltop Point 953,Viewpoint
Meghalaya,Lake Point 954,Viewpoint
Assam,Monastery Point 955,Religious
Arunachal Pradesh,Waterfall Point 956,Leisure
Haryana,Monastery Point 957,Nature
Mizoram,Sanctuary Point 958,Leisure
Chhattisgarh,Lake Point 959,Leisure
Bihar,Fort Point 960,Wildlife
Nagaland,Waterfall Point 961,Nature
Sikkim,Hilltop Point 962,Historical
Assam,Waterfall Point 963,Religious
Goa,Fort Point 964,Historical
Manipur,Hilltop Point 965,Adventure
Arunachal Pradesh,Hilltop Point 966,Wildlife
Chhattisgarh,Lake Point 967,Cultural
Goa,Cave Point 968,Nature
Andhra Pradesh,Temple Point 969,Wildlife
Tripura,Hilltop Point 970,Religious
Arunachal Pradesh,Hilltop Point 971,Adventure
Nagaland,Beach Point 972,Leisure
Haryana,Park Point 973,Religious
Nagaland,Lake Point 974,Wildlife
Andhra Pradesh,Park Point 975,Wildlife
Haryana,Monastery Point 976,Leisure
Assam,Sanctuary Point 977,Wildlife
Sikkim,Temple Point 978,Cultural
Punjab,Park Point 979,Religious
Chhattisgarh,Temple Point 980,Religious
Goa,Waterfall Point 981,Adventure
Haryana,Cave Point 982,Historical
Goa,Park Point 983,Wildlife
Mizoram,Sanctuary Point 984,Cultural
Arunachal Pradesh,Beach Point 985,Leisure
Assam,Fort Point 986,Religious
Andhra Pradesh,Cave Point 987,Historical
Mizoram,Waterfall Point 988,Cultural
Punjab,Lake Point 989,Religious
Andhra Pradesh,Lake Point 990,Leisure
Punjab,Sanctuary Point 991,Adventure
Manipur,Monastery Point 992,Nature
Chhattisgarh,Sanctuary Point 993,Religious
Manipur,Cave Point 994,Historical
Arunachal Pradesh,Hilltop Point 995,Cultural
Haryana,Beach Point 996,Adventure
Assam,Hilltop Point 997,Historical
Manipur,Cave Point 998,Wildlife
Assam,Lake Point 999,Viewpoint
Arunachal Pradesh,Fort Point 1000,Adventure
Haryana,Temple Point 1001,Religious
Haryana,Waterfall Point 1002,Religious
Mizoram,Monastery Point 1003,Cultural
Tripura,Park Point 1004,Religious
Mizoram,Cave Point 1005,Historical
Punjab,Lake Point 1006,Nature
Chhattisgarh,Monastery Point 1007,Adventure
Andhra Pradesh,Temple Point 1008,Adventure
Punjab,Waterfall Point 1009,Wildlife
Meghalaya,Beach Point 1010,Nature
Sikkim,Cave Point 1011,Viewpoint
Tripura,Hilltop Point 1012,Viewpoint
Bihar,Cave Point 1013,Religious
Mizoram,Monastery Point 1014,Cultural
Andhra Pradesh,Fort Point 1015,Religious
Arunachal Pradesh,Fort Point 1016,Nature
Tripura,Monastery Point 1017,Leisure
Goa,Fort Point 1018,Adventure
Meghalaya,Fort Point 1019,Cultural
Assam,Monastery Point 1020,Cultural
Andhra Pradesh,Hilltop Point 1021,Cultural
Tripura,Fort Point 1022,Nature
Meghalaya,Park Point 1023,Adventure
Nagaland,Monastery Point 1024,Wildlife
Punjab,Fort Point 1025,Viewpoint
Nagaland,Monastery Point 1026,Historical
Nagaland,Monastery Point 1027,Historical
Sikkim,Monastery Point 1028,Wildlife
Andhra Pradesh,Monastery Point 1029,Adventure
Sikkim,Lake Point 1030,Cultural
Punjab,Fort Point 1031,Viewpoint
Sikkim,Waterfall Point 1032,Wildlife
Tripura,Waterfall Point 1033,Viewpoint
Punjab,Cave Point 1034,Religious
Haryana,Fort Point 1035,Religious
Punjab,Beach Point 1036,Adventure
Assam,Monastery Point 1037,Cultural
Arunachal Pradesh,Fort Point 1038,Nature
Assam,Sanctuary Point 1039,Religious
Punjab,Hilltop Point 1040,Wildlife
Goa,Hilltop Point 1041,Nature
Goa,Waterfall Point 1042,Adventure
Andhra Pradesh,Park Point 1043,Historical
Meghalaya,Monastery Point 1044,Religious
Meghalaya,Waterfall Point 1045,Historical
Manipur,Fort Point 1046,Adventure
Chhattisgarh,Temple Point 1047,Nature
Sikkim,Lake Point 1048,Leisure
Chhattisgarh,Cave Point 1049,Historical
Meghalaya,Beach Point 1050,Religious
Haryana,Waterfall Point 1051,Historical
Sikkim,Hilltop Point 1052,Religious
Sikkim,Waterfall Point 1053,Nature
Tripura,Fort Point 1054,Nature
Assam,Monastery Point 1055,Adventure
Goa,Sanctuary Point 1056,Historical
Sikkim,Park Point 1057,Viewpoint
Arunachal Pradesh,Cave Point 1058,Wildlife
Mizoram,Sanctuary Point 1059,Leisure
Manipur,Waterfall Point 1060,Nature
Goa,Monastery Point 1061,Wildlife
Chhattisgarh,Monastery Point 1062,Adventure
Arunachal Pradesh,Temple Point 1063,Leisure
Tripura,Sanctuary Point 1064,Historical
Haryana,Waterfall Point 1065,Wildlife
Chhattisgarh,Temple Point 1066,Cultural
Andhra Pradesh,Park Point 1067,Historical
Punjab,Beach Point 1068,Cultural
Mizoram,Hilltop Point 1069,Cultural
Mizoram,Beach Point 1070,Historical
Punjab,Fort Point 1071,Historical
Goa,Waterfall Point 1072,Leisure
Assam,Temple Point 1073,Adventure
Goa,Monastery Point 1074,Nature
Tripura,Fort Point 1075,Adventure
Nagaland,Park Point 1076,Viewpoint
Tripura,Hilltop Point 1077,Historical
Punjab,Waterfall Point 1078,Cultural
Meghalaya,Sanctuary Point 1079,Religious
Mizoram,Lake Point 1080,Religious
Sikkim,Sanctuary Point 1081,Historical
Haryana,Lake Point 1082,Adventure
Arunachal Pradesh,Lake Point 1083,Viewpoint
Meghalaya,Lake Point 1084,Wildlife
Assam,Monastery Point 1085,Leisure
Punjab,Fort Point 1086,Leisure
Arunachal Pradesh,Lake Point 1087,Religious
Bihar,Cave Point 1088,Historical
Andhra Pradesh,Monastery Point 1089,Wildlife
Mizoram,Park Point 1090,Nature
Bihar,Sanctuary Point 1091,Viewpoint
Manipur,Beach Point 1092,Adventure
Tripura,Cave Point 1093,Leisure
Bihar,Monastery Point 1094,Nature
Punjab,Monastery Point 1095,Adventure
Haryana,Beach Point 1096,Leisure
Tripura,Waterfall Point 1097,Religious
Meghalaya,Sanctuary Point 1098,Nature
Bihar,Fort Point 1099,Religious
Sikkim,Sanctuary Point 1100,Leisure
Mizoram,Waterfall Point 1101,Leisure
Manipur,Hilltop Point 1102,Adventure
Nagaland,Park Point 1103,Viewpoint
Mizoram,Monastery Point 1104,Wildlife
Goa,Waterfall Point 1105,Nature
Haryana,Temple Point 1106,Leisure
Chhattisgarh,Hilltop Point 1107,Religious
Meghalaya,Fort Point 1108,Viewpoint
Arunachal Pradesh,Temple Point 1109,Historical
Mizoram,Temple Point 1110,Nature
Punjab,Sanctuary Point 1111,Nature
Mizoram,Waterfall Point 1112,Religious
Andhra Pradesh,Cave Point 1113,Leisure
Sikkim,Hilltop Point 1114,Nature
Andhra Pradesh,Temple Point 1115,Leisure
Manipur,Fort Point 1116,Religious
Andhra Pradesh,Monastery Point 1117,Historical
Goa,Cave Point 1118,Wildlife
Andhra Pradesh,Cave Point 1119,Adventure
Andhra Pradesh,Beach Point 1120,Historical
Mizoram,Fort Point 1121,Viewpoint
Tripura,Park Point 1122,Nature
Goa,Lake Point 1123,Adventure
Haryana,Temple Point 1124,Nature
Manipur,Hilltop Point 1125,Leisure
Bihar,Hilltop Point 1126,Historical
Goa,Waterfall Point 1127,Nature
Chhattisgarh,Park Point 1128,Historical
Arunachal Pradesh,Fort Point 1129,Wildlife
Haryana,Sanctuary Point 1130,Cultural
Sikkim,Sanctuary Point 1131,Historical
Haryana,Hilltop Point 1132,Cultural
Arunachal Pradesh,Sanctuary Point 1133,Leisure
Bihar,Lake Point 1134,Cultural
Goa,Temple Point 1135,Nature
Haryana,Sanctuary Point 1136,Wildlife
Andhra Pradesh,Beach Point 1137,Historical
Meghalaya,Hilltop Point 1138,Leisure
Chhattisgarh,Cave Point 1139,Nature
Goa,Waterfall Point 1140,Leisure
Manipur,Lake Point 1141,Viewpoint
Arunachal Pradesh,Sanctuary Point 1142,Viewpoint
Punjab,Fort Point 1143,Cultural
Sikkim,Waterfall Point 1144,Religious
Arunachal Pradesh,Fort Point 1145,Adventure
Nagaland,Beach Point 1146,Leisure
Nagaland,Cave Point 1147,Religious
Assam,Monastery Point 1148,Viewpoint
Haryana,Fort Point 1149,Leisure
Manipur,Cave Point 1150,Historical
Haryana,Beach Point 1151,Viewpoint
Mizoram,Fort Point 1152,Nature
Goa,Park Point 1153,Leisure
Goa,Sanctuary Point 1154,Adventure
Mizoram,Park Point 1155,Viewpoint
Arunachal Pradesh,Fort Point 1156,Wildlife
Mizoram,Beach Point 1157,Adventure
Tripura,Fort Point 1158,Adventure
Sikkim,Waterfall Point 1159,Historical
Mizoram,Monastery Point 1160,Wildlife
Punjab,Beach Point 1161,Leisure
Tripura,Sanctuary Point 1162,Cultural
Tripura,Sanctuary Point 1163,Adventure
Nagaland,Cave Point 1164,Cultural
Sikkim,Temple Point 1165,Wildlife
Tripura,Lake Point 1166,Nature
Mizoram,Sanctuary Point 1167,Leisure
Haryana,Temple Point 1168,Wildlife
Assam,Temple Point 1169,Adventure
Tripura,Park Point 1170,Adventure
Goa,Waterfall Point 1171,Wildlife
Assam,Park Point 1172,Nature
Nagaland,Beach Point 1173,Nature
Sikkim,Cave Point 1174,Viewpoint
Nagaland,Cave Point 1175,Adventure
Mizoram,Park Point 1176,Wildlife
Nagaland,Cave Point 1177,Viewpoint
Assam,Park Point 1178,Viewpoint
Chhattisgarh,Sanctuary Point 1179,Wildlife
Punjab,Hilltop Point 1180,Nature
Sikkim,Sanctuary Point 1181,Adventure
Haryana,Fort Point 1182,Cultural
Assam,Monastery Point 1183,Adventure
Manipur,Waterfall Point 1184,Cultural
Meghalaya,Monastery Point 1185,Historical
Mizoram,Hilltop Point 1186,Nature
Punjab,Fort Point 1187,Adventure
Chhattisgarh,Hilltop Point 1188,Cultural
Mizoram,Monastery Point 1189,Nature
Andhra Pradesh,Cave Point 1190,Cultural
Goa,Beach Point 1191,Adventure
Goa,Fort Point 1192,Wildlife
Nagaland,Park Point 1193,Leisure
Sikkim,Sanctuary Point 1194,Viewpoint
Manipur,Lake Point 1195,Wildlife
Meghalaya,Monastery Point 1196,Cultural
Mizoram,Lake Point 1197,Cultural
Mizoram,Monastery Point 1198,Nature
Sikkim,Fort Point 1199,Wildlife
Chhattisgarh,Park Point 1200,Adventure
Punjab,Lake Point 1201,Religious
Nagaland,Lake Point 1202,Cultural
Goa,Lake Point 1203,Religious
Mizoram,Sanctuary Point 1204,Adventure
Sikkim,Waterfall Point 1205,Adventure
Sikkim,Sanctuary Point 1206,Religious
Goa,Beach Point 1207,Viewpoint
Assam,Sanctuary Point 1208,Cultural
Meghalaya,Cave Point 1209,Adventure
Haryana,Waterfall Point 1210,Leisure
Meghalaya,Beach Point 1211,Viewpoint
Haryana,Lake Point 1212,Leisure
Andhra Pradesh,Beach Point 1213,Cultural
Sikkim,Lake Point 1214,Viewpoint
Goa,Monastery Point 1215,Religious
Sikkim,Monastery Point 1216,Historical
Meghalaya,Beach Point 1217,Cultural
Chhattisgarh,Fort Point 1218,Viewpoint
Arunachal Pradesh,Fort Point 1219,Cultural
Haryana,Fort Point 1220,Wildlife
Andhra Pradesh,Waterfall Point 1221,Historical
Arunachal Pradesh,Lake Point 1222,Wildlife
Sikkim,Lake Point 1223,Leisure
Manipur,Beach Point 1224,Religious
Bihar,Temple Point 1225,Historical
Bihar,Temple Point 1226,Viewpoint
Manipur,Temple Point 1227,Viewpoint
Meghalaya,Hilltop Point 1228,Cultural
Bihar,Waterfall Point 1229,Religious
Chhattisgarh,Lake Point 1230,Cultural
Bihar,Temple Point 1231,Cultural
Assam,Hilltop Point 1232,Viewpoint
Sikkim,Beach Point 1233,Cultural
Arunachal Pradesh,Lake Point 1234,Cultural
Assam,Waterfall Point 1235,Leisure
Bihar,Waterfall Point 1236,Nature
Mizoram,Hilltop Point 1237,Adventure
Bihar,Park Point 1238,Historical
Haryana,Beach Point 1239,Viewpoint
Andhra Pradesh,Fort Point 1240,Wildlife
Arunachal Pradesh,Park Point 1241,Adventure
Sikkim,Cave Point 1242,Viewpoint
Mizoram,Beach Point 1243,Leisure
Bihar,Temple Point 1244,Nature
Punjab,Beach Point 1245,Viewpoint
Sikkim,Monastery Point 1246,Wildlife
Arunachal Pradesh,Fort Point 1247,Religious
Assam,Hilltop Point 1248,Wildlife
Arunachal Pradesh,Hilltop Point 1249,Religious
Andhra Pradesh,Beach Point 1250,Leisure
Chhattisgarh,Cave Point 1251,Leisure
Nagaland,Fort Point 1252,Leisure
Goa,Park Point 1253,Religious
Punjab,Hilltop Point 1254,Adventure
Assam,Waterfall Point 1255,Religious
Chhattisgarh,Hilltop Point 1256,Adventure
Sikkim,Park Point 1257,Historical
Andhra Pradesh,Temple Point 1258,Adventure
Mizoram,Sanctuary Point 1259,Viewpoint
Bihar,Monastery Point 1260,Wildlife
Sikkim,Beach Point 1261,Wildlife
Punjab,Waterfall Point 1262,Adventure
Assam,Cave Point 1263,Religious
Goa,Temple Point 1264,Cultural
Meghalaya,Cave Point 1265,Wildlife
Tripura,Cave Point 1266,Adventure
Manipur,Lake Point 1267,Cultural
Mizoram,Monastery Point 1268,Nature
Assam,Waterfall Point 1269,Leisure
Bihar,Beach Point 1270,Cultural
Tripura,Lake Point 1271,Historical
Manipur,Sanctuary Point 1272,Leisure
Meghalaya,Waterfall Point 1273,Wildlife
Haryana,Hilltop Point 1274,Wildlife
Andhra Pradesh,Hilltop Point 1275,Religious
Arunachal Pradesh,Temple Point 1276,Viewpoint
Punjab,Lake Point 1277,Nature
Meghalaya,Beach Point 1278,Cultural
Haryana,Fort Point 1279,Historical
Arunachal Pradesh,Fort Point 1280,Historical
Bihar,Fort Point 1281,Nature
Sikkim,Temple Point 1282,Wildlife
Bihar,Park Point 1283,Nature
Goa,Hilltop Point 1284,Wildlife
Andhra Pradesh,Temple Point 1285,Historical
Goa,Hilltop Point 1286,Religious
Meghalaya,Waterfall Point 1287,Leisure
Haryana,Fort Point 1288,Adventure
Tripura,Beach Point 1289,Leisure
Mizoram,Park Point 1290,Wildlife
Mizoram,Monastery Point 1291,Religious
Manipur,Beach Point 1292,Adventure
Arunachal Pradesh,Sanctuary Point 1293,Leisure
Bihar,Monastery Point 1294,Adventure
Meghalaya,Hilltop Point 1295,Historical
Chhattisgarh,Temple Point 1296,Adventure
Punjab,Temple Point 1297,Viewpoint
Nagaland,Lake Point 1298,Adventure
Mizoram,Hilltop Point 1299,Cultural
Andhra Pradesh,Cave Point 1300,Religious
Tripura,Sanctuary Point 1301,Nature
Mizoram,Temple Point 1302,Viewpoint
Meghalaya,Sanctuary Point 1303,Viewpoint
Punjab,Cave Point 1304,Historical
Mizoram,Lake Point 1305,Religious
Chhattisgarh,Monastery Point 1306,Viewpoint
