State,Sightseeing Place,Activity,Language Preferred,Hotel Nearby,Hotel Price (INR),Famous Food,Category
Himachal Pradesh,Temple in Himachal Pradesh,Boating,Tamil,"Anderson, Cruz and Saunders Hotel",9958,Thali,Romantic
Himachal Pradesh,Palace in Himachal Pradesh,Wildlife Safari,Hindi,"Price, Drake and Suarez Hotel",7500,Dosa,Nature
Himachal Pradesh,Beach in Himachal Pradesh,Wildlife Safari,Hindi,Ramirez Group Hotel,3272,Chole Bhature,Wildlife
Himachal Pradesh,Palace in Himachal Pradesh,Historical Tour,Hindi,Gibson-Randolph Hotel,4702,Prawn Curry,Nature
Himachal Pradesh,Temple in Himachal Pradesh,Historical Tour,Hindi,Moore Group Hotel,5538,Thali,Historical
Himachal Pradesh,Backwaters in Himachal Pradesh,Boating,Malayalam,Lopez PLC Hotel,2805,Thali,Cultural
Himachal Pradesh,Wildlife Sanctuary in Himachal Pradesh,Camping,Malayalam,Taylor-Reese Hotel,6014,Dosa,Adventure
Himachal Pradesh,Beach in Himachal Pradesh,Shopping,Tamil,"Mercer, Brown and James Hotel",4366,Thali,Wildlife
Himachal Pradesh,Beach in Himachal Pradesh,Trekking,Hindi,Carey-Roberts Hotel,8628,Seafood,Adventure
Himachal Pradesh,Fort in Himachal Pradesh,Shopping,Marathi,Miller-Johnson Hotel,7321,Dosa,Historical
Himachal Pradesh,Backwaters in Himachal Pradesh,Historical Tour,Marathi,Sanchez Group Hotel,5657,Dosa,Nature
Himachal Pradesh,Beach in Himachal Pradesh,Trekking,Marathi,Henderson-Miller Hotel,1589,Chole Bhature,Religious
Himachal Pradesh,Backwaters in Himachal Pradesh,Shopping,Konkani,"Allen, Lester and Smith Hotel",4782,Prawn Curry,Historical
Himachal Pradesh,Beach in Himachal Pradesh,Shopping,Konkani,Reed-Hodges Hotel,8700,Chole Bhature,Cultural
Himachal Pradesh,Temple in Himachal Pradesh,Historical Tour,Tamil,Phillips Inc Hotel,3939,Thali,Adventure
Himachal Pradesh,Fort in Himachal Pradesh,Trekking,Marathi,Haynes Inc Hotel,5441,Idiyappam,Religious
Himachal Pradesh,Backwaters in Himachal Pradesh,Shopping,Tamil,Moss-Cole Hotel,1810,Thali,Nature
Himachal Pradesh,Hill Station in Himachal Pradesh,Historical Tour,Tamil,"Fletcher, King and Mendoza Hotel",8472,Thali,Adventure
Himachal Pradesh,Hill Station in Himachal Pradesh,Cultural Dance,Marathi,Ramos-Reed Hotel,1908,Idiyappam,Nature
Himachal Pradesh,Wildlife Sanctuary in Himachal Pradesh,Trekking,Hindi,"Powell, Anderson and Diaz Hotel",8822,Prawn Curry,Historical
Himachal Pradesh,Backwaters in Himachal Pradesh,Historical Tour,Hindi,Morales Group Hotel,5633,Thali,Nature
Himachal Pradesh,Backwaters in Himachal Pradesh,Cultural Dance,Malayalam,Brennan and Sons Hotel,5365,Prawn Curry,Cultural
Himachal Pradesh,Fort in Himachal Pradesh,Trekking,Konkani,Taylor-Henson Hotel,5916,Prawn Curry,Nature
Himachal Pradesh,Hill Station in Himachal Pradesh,Boating,Punjabi,"Boyd, Newton and Morris Hotel",2577,Chole Bhature,Cultural
Himachal Pradesh,Beach in Himachal Pradesh,Trekking,Malayalam,Cook-Stanley Hotel,9722,Thali,Cultural
Himachal Pradesh,Fort in Himachal Pradesh,Camping,Punjabi,Cooper-Hill Hotel,9641,Dosa,Cultural
Himachal Pradesh,Fort in Himachal Pradesh,Wildlife Safari,Tamil,"Holmes, Butler and Stein Hotel",5164,Rajasthani Laal Maas,Nature
Himachal Pradesh,Beach in Himachal Pradesh,Historical Tour,Marathi,Bennett Ltd Hotel,8692,Rajasthani Laal Maas,Nature
Himachal Pradesh,Wildlife Sanctuary in Himachal Pradesh,Historical Tour,Tamil,Martinez PLC Hotel,6294,Thali,Historical
Himachal Pradesh,Temple in Himachal Pradesh,Trekking,English,Flores-Ayala Hotel,5043,Dosa,Adventure
Jharkhand,Palace in Jharkhand,Historical Tour,Tamil,Stout-Douglas Hotel,5860,Seafood,Religious
Jharkhand,Wildlife Sanctuary in Jharkhand,Boating,Konkani,Brooks-Carpenter Hotel,6780,Dosa,Religious
Jharkhand,Beach in Jharkhand,Cultural Dance,Punjabi,Bradley-Ingram Hotel,9944,Rajasthani Laal Maas,Romantic
Jharkhand,Fort in Jharkhand,Camping,Marathi,Macias-Lowe Hotel,3366,Prawn Curry,Historical
Jharkhand,Wildlife Sanctuary in Jharkhand,Trekking,Hindi,Mccarthy-Melton Hotel,5827,Seafood,Historical
Jharkhand,Wildlife Sanctuary in Jharkhand,Cultural Dance,English,Henry LLC Hotel,1931,Seafood,Historical
Jharkhand,Palace in Jharkhand,Wildlife Safari,Tamil,Sullivan-Lopez Hotel,4310,Thali,Nature
Jharkhand,Temple in Jharkhand,Trekking,Konkani,Anderson-Flores Hotel,4094,Rajasthani Laal Maas,Wildlife
Jharkhand,Backwaters in Jharkhand,Trekking,Punjabi,Guerrero LLC Hotel,5751,Thali,Cultural
Jharkhand,Fort in Jharkhand,Shopping,Hindi,"Williams, Saunders and Olsen Hotel",5353,Chole Bhature,Wildlife
Jharkhand,Backwaters in Jharkhand,Shopping,Marathi,Martinez Ltd Hotel,9904,Prawn Curry,Romantic
Jharkhand,Wildlife Sanctuary in Jharkhand,Wildlife Safari,Tamil,Sparks-Johnson Hotel,3901,Thali,Nature
Jharkhand,Temple in Jharkhand,Trekking,Punjabi,"Ferguson, Hooper and Figueroa Hotel",9751,Rajasthani Laal Maas,Romantic
Jharkhand,Hill Station in Jharkhand,Cultural Dance,Marathi,Ramirez-Hunter Hotel,2000,Idiyappam,Cultural
Jharkhand,Wildlife Sanctuary in Jharkhand,Trekking,Marathi,"Banks, Walton and Downs Hotel",8037,Chole Bhature,Adventure
Jharkhand,Fort in Jharkhand,Boating,English,Hendricks-Olson Hotel,3470,Dosa,Adventure
Jharkhand,Fort in Jharkhand,Wildlife Safari,Punjabi,Yates and Sons Hotel,5319,Prawn Curry,Historical
Jharkhand,Fort in Jharkhand,Camping,Tamil,Jimenez Inc Hotel,1688,Prawn Curry,Religious
Jharkhand,Palace in Jharkhand,Shopping,Hindi,Anderson-Allen Hotel,5751,Prawn Curry,Nature
Jharkhand,Temple in Jharkhand,Historical Tour,Malayalam,James-Price Hotel,9254,Rajasthani Laal Maas,Nature
Jharkhand,Wildlife Sanctuary in Jharkhand,Shopping,English,Wu-Johnson Hotel,4595,Dosa,Romantic
Jharkhand,Palace in Jharkhand,Camping,Marathi,"Leon, Mcpherson and Wells Hotel",8106,Thali,Cultural
Jharkhand,Backwaters in Jharkhand,Cultural Dance,Hindi,Brady-Smith Hotel,4085,Prawn Curry,Historical
Jharkhand,Backwaters in Jharkhand,Shopping,Marathi,Martin-Ellison Hotel,5930,Idiyappam,Religious
Jharkhand,Fort in Jharkhand,Cultural Dance,Tamil,Allen Group Hotel,9768,Seafood,Historical
Jharkhand,Backwaters in Jharkhand,Shopping,Tamil,"Thornton, Miller and Flores Hotel",9317,Rajasthani Laal Maas,Wildlife
Jharkhand,Palace in Jharkhand,Camping,Hindi,"Fuentes, Brown and Stevens Hotel",7310,Seafood,Wildlife
Jharkhand,Palace in Jharkhand,Camping,Konkani,Johnson Group Hotel,2948,Idiyappam,Romantic
Jharkhand,Temple in Jharkhand,Trekking,Malayalam,Pierce-Solis Hotel,8498,Thali,Historical
Jharkhand,Fort in Jharkhand,Cultural Dance,English,Johnston PLC Hotel,4400,Dosa,Adventure
Jharkhand,Backwaters in Jharkhand,Shopping,Punjabi,"Ho, Sherman and Duran Hotel",5172,Chole Bhature,Wildlife
Jharkhand,Temple in Jharkhand,Camping,Hindi,Lawrence Inc Hotel,9040,Prawn Curry,Cultural
Jharkhand,Wildlife Sanctuary in Jharkhand,Shopping,Punjabi,Morales LLC Hotel,8023,Seafood,Adventure
Jharkhand,Backwaters in Jharkhand,Trekking,Marathi,Smith Inc Hotel,8408,Rajasthani Laal Maas,Wildlife
Jharkhand,Hill Station in Jharkhand,Shopping,Marathi,Lawrence-Ryan Hotel,7665,Dosa,Romantic
Jharkhand,Beach in Jharkhand,Cultural Dance,Malayalam,"Rogers, Fields and Romero Hotel",8533,Thali,Adventure
Jharkhand,Temple in Jharkhand,Wildlife Safari,Malayalam,"Garza, Burnett and Jimenez Hotel",3985,Thali,Historical
Jharkhand,Palace in Jharkhand,Boating,Marathi,Holland Inc Hotel,7038,Thali,Historical
Jharkhand,Beach in Jharkhand,Boating,Malayalam,"Beck, Jenkins and Wheeler Hotel",5483,Idiyappam,Wildlife
Jharkhand,Temple in Jharkhand,Camping,Marathi,Burton Group Hotel,3548,Thali,Romantic
Jharkhand,Fort in Jharkhand,Shopping,Konkani,"West, Barrett and Fowler Hotel",5137,Chole Bhature,Romantic
Jharkhand,Temple in Jharkhand,Wildlife Safari,Punjabi,Lewis-Bell Hotel,9721,Seafood,Romantic
Jharkhand,Palace in Jharkhand,Historical Tour,English,"Mack, Snyder and Payne Hotel",5735,Dosa,Historical
Jharkhand,Beach in Jharkhand,Shopping,Marathi,Anderson-Gordon Hotel,8793,Prawn Curry,Romantic
Jharkhand,Palace in Jharkhand,Historical Tour,Hindi,Young Group Hotel,2538,Thali,Adventure
Jharkhand,Palace in Jharkhand,Boating,Konkani,Hanson-Ochoa Hotel,3350,Prawn Curry,Cultural
Jharkhand,Backwaters in Jharkhand,Boating,Malayalam,Lopez and Sons Hotel,4174,Idiyappam,Cultural
Jharkhand,Beach in Jharkhand,Cultural Dance,Tamil,Wise PLC Hotel,3268,Seafood,Religious
Jharkhand,Temple in Jharkhand,Cultural Dance,Tamil,Martin Group Hotel,1506,Chole Bhature,Religious
Jharkhand,Beach in Jharkhand,Trekking,Malayalam,"Daniels, Wagner and Crawford Hotel",6762,Prawn Curry,Romantic
Jharkhand,Palace in Jharkhand,Historical Tour,Malayalam,Spencer-Cruz Hotel,1859,Seafood,Adventure
Jharkhand,Hill Station in Jharkhand,Shopping,Malayalam,Wilson and Sons Hotel,9619,Seafood,Adventure
Jharkhand,Palace in Jharkhand,Wildlife Safari,Hindi,Martin Group Hotel,8527,Chole Bhature,Wildlife
Jharkhand,Palace in Jharkhand,Shopping,English,Palmer Group Hotel,6237,Chole Bhature,Nature
Jharkhand,Wildlife Sanctuary in Jharkhand,Wildlife Safari,Tamil,Burgess PLC Hotel,8087,Idiyappam,Nature
Jharkhand,Temple in Jharkhand,Shopping,Punjabi,Williams LLC Hotel,9433,Rajasthani Laal Maas,Nature
Jharkhand,Wildlife Sanctuary in Jharkhand,Wildlife Safari,English,Harris LLC Hotel,5738,Prawn Curry,Romantic
Jharkhand,Fort in Jharkhand,Shopping,Marathi,Jacobs and Sons Hotel,2185,Prawn Curry,Romantic
Jharkhand,Backwaters in Jharkhand,Trekking,Konkani,King Ltd Hotel,8065,Dosa,Cultural
Jharkhand,Fort in Jharkhand,Boating,Hindi,Thomas-Bennett Hotel,5948,Thali,Historical
Jharkhand,Hill Station in Jharkhand,Historical Tour,Marathi,Conley-Smith Hotel,3213,Idiyappam,Religious
Jharkhand,Wildlife Sanctuary in Jharkhand,Camping,Marathi,"Cox, Thornton and Rodriguez Hotel",4526,Dosa,Wildlife
Jharkhand,Temple in Jharkhand,Camping,Marathi,"Williams, Beard and Landry Hotel",8417,Prawn Curry,Wildlife
Jharkhand,Fort in Jharkhand,Wildlife Safari,Konkani,Cox-Bryant Hotel,5579,Rajasthani Laal Maas,Romantic
Jharkhand,Temple in Jharkhand,Cultural Dance,Marathi,"Arnold, Williams and Martin Hotel",8714,Chole Bhature,Romantic
Jharkhand,Temple in Jharkhand,Wildlife Safari,Malayalam,Hill PLC Hotel,2979,Chole Bhature,Adventure
Jharkhand,Fort in Jharkhand,Camping,Malayalam,Hall Inc Hotel,2307,Thali,Nature
Jharkhand,Fort in Jharkhand,Boating,Punjabi,"Parker, Booth and Leach Hotel",4458,Thali,Cultural
Jharkhand,Backwaters in Jharkhand,Shopping,Tamil,Huynh-Rodriguez Hotel,7419,Seafood,Wildlife
Jharkhand,Temple in Jharkhand,Cultural Dance,Hindi,Lopez-Baldwin Hotel,7255,Thali,Nature
Jharkhand,Temple in Jharkhand,Trekking,Tamil,Mitchell-Schneider Hotel,2513,Seafood,Cultural
Jharkhand,Fort in Jharkhand,Wildlife Safari,Konkani,Lee-Bennett Hotel,7969,Seafood,Historical
Jharkhand,Hill Station in Jharkhand,Boating,Tamil,Nielsen Group Hotel,3560,Thali,Romantic
Jharkhand,Fort in Jharkhand,Camping,Malayalam,Stanley PLC Hotel,7601,Prawn Curry,Nature
Jharkhand,Temple in Jharkhand,Historical Tour,Hindi,Williams PLC Hotel,2305,Thali,Romantic
Jharkhand,Backwaters in Jharkhand,Cultural Dance,Marathi,"Klein, Richards and Thompson Hotel",6433,Idiyappam,Religious
Jharkhand,Hill Station in Jharkhand,Wildlife Safari,Marathi,Burgess LLC Hotel,5599,Seafood,Nature
Jharkhand,Hill Station in Jharkhand,Historical Tour,Tamil,Proctor-Castaneda Hotel,5988,Idiyappam,Wildlife
Jharkhand,Wildlife Sanctuary in Jharkhand,Wildlife Safari,Marathi,Campbell Inc Hotel,8625,Dosa,Historical
Jharkhand,Temple in Jharkhand,Trekking,Malayalam,Campos-Conner Hotel,8640,Chole Bhature,Religious
Jharkhand,Palace in Jharkhand,Shopping,Konkani,Johnson Ltd Hotel,6591,Chole Bhature,Historical
Jharkhand,Wildlife Sanctuary in Jharkhand,Camping,Tamil,Walker-Oneal Hotel,8759,Chole Bhature,Romantic
Jharkhand,Palace in Jharkhand,Wildlife Safari,Tamil,"Lopez, Carter and Hernandez Hotel",6554,Idiyappam,Adventure
Jharkhand,Beach in Jharkhand,Boating,Konkani,Newman Group Hotel,9797,Idiyappam,Romantic
Karnataka,Palace in Karnataka,Historical Tour,English,Moore and Sons Hotel,5473,Idiyappam,Cultural
Karnataka,Hill Station in Karnataka,Camping,Konkani,"Mata, Macdonald and Sexton Hotel",8126,Dosa,Cultural
Karnataka,Beach in Karnataka,Shopping,Punjabi,Dixon Group Hotel,4519,Idiyappam,Historical
Karnataka,Hill Station in Karnataka,Cultural Dance,Malayalam,Taylor Group Hotel,2387,Thali,Historical
Karnataka,Backwaters in Karnataka,Camping,Marathi,"Curtis, Pacheco and Meyers Hotel",7185,Seafood,Nature
Karnataka,Palace in Karnataka,Cultural Dance,Punjabi,Cain Inc Hotel,8471,Seafood,Cultural
Karnataka,Beach in Karnataka,Trekking,English,"Nolan, Murillo and Townsend Hotel",3992,Chole Bhature,Religious
Karnataka,Wildlife Sanctuary in Karnataka,Shopping,Tamil,"Jones, Hurst and Torres Hotel",8515,Dosa,Wildlife
Karnataka,Backwaters in Karnataka,Historical Tour,Malayalam,Rivers Ltd Hotel,8073,Seafood,Cultural
Karnataka,Hill Station in Karnataka,Wildlife Safari,Hindi,Rice-Cervantes Hotel,7892,Thali,Nature
Karnataka,Palace in Karnataka,Boating,Malayalam,"Hicks, Gill and Wise Hotel",3137,Thali,Adventure
Karnataka,Wildlife Sanctuary in Karnataka,Wildlife Safari,Konkani,"Webb, Rocha and Taylor Hotel",5615,Prawn Curry,Cultural
Karnataka,Fort in Karnataka,Cultural Dance,Tamil,"Blanchard, Roach and Johnson Hotel",2482,Thali,Cultural
Karnataka,Fort in Karnataka,Trekking,Hindi,"Barnes, Burns and Barnett Hotel",9275,Prawn Curry,Romantic
Karnataka,Temple in Karnataka,Historical Tour,Punjabi,Webster Group Hotel,9602,Prawn Curry,Religious
Karnataka,Beach in Karnataka,Shopping,Hindi,"Hayden, Harvey and Hutchinson Hotel",4332,Prawn Curry,Romantic
Karnataka,Hill Station in Karnataka,Historical Tour,Konkani,Holmes-Jones Hotel,1723,Idiyappam,Adventure
Karnataka,Temple in Karnataka,Boating,Punjabi,"Schmidt, Lane and Edwards Hotel",8193,Idiyappam,Adventure
Karnataka,Wildlife Sanctuary in Karnataka,Boating,Punjabi,"Lee, Rodriguez and Hooper Hotel",8463,Thali,Religious
Karnataka,Backwaters in Karnataka,Trekking,English,Johnson-Martinez Hotel,2376,Seafood,Romantic
Karnataka,Hill Station in Karnataka,Boating,Punjabi,Howe Group Hotel,9343,Chole Bhature,Religious
Karnataka,Temple in Karnataka,Camping,Punjabi,"Flowers, Smith and Jones Hotel",7822,Idiyappam,Cultural
Karnataka,Fort in Karnataka,Trekking,Tamil,"Chapman, Daniels and Serrano Hotel",7240,Idiyappam,Wildlife
Karnataka,Beach in Karnataka,Camping,Malayalam,Diaz-Hogan Hotel,9922,Seafood,Adventure
Karnataka,Beach in Karnataka,Trekking,Punjabi,Liu-Gonzales Hotel,5310,Prawn Curry,Adventure
Karnataka,Hill Station in Karnataka,Camping,Konkani,Cline-Chandler Hotel,5896,Thali,Nature
Karnataka,Backwaters in Karnataka,Historical Tour,Malayalam,Smith-Cherry Hotel,6505,Rajasthani Laal Maas,Adventure
Karnataka,Hill Station in Karnataka,Cultural Dance,Tamil,"Schaefer, Garcia and Montoya Hotel",7046,Rajasthani Laal Maas,Religious
Karnataka,Wildlife Sanctuary in Karnataka,Boating,Konkani,Gregory PLC Hotel,2756,Thali,Religious
Karnataka,Beach in Karnataka,Boating,Punjabi,Doyle and Sons Hotel,8831,Chole Bhature,Cultural
Karnataka,Fort in Karnataka,Wildlife Safari,Konkani,Estes Ltd Hotel,9548,Rajasthani Laal Maas,Romantic
Karnataka,Backwaters in Karnataka,Shopping,Hindi,Waters-Waters Hotel,8885,Dosa,Cultural
Karnataka,Temple in Karnataka,Shopping,English,Cox-Brown Hotel,5479,Rajasthani Laal Maas,Adventure
Karnataka,Backwaters in Karnataka,Cultural Dance,Punjabi,Rogers PLC Hotel,4225,Dosa,Religious
Karnataka,Palace in Karnataka,Boating,Konkani,Mclean-Martinez Hotel,7717,Rajasthani Laal Maas,Religious
Karnataka,Wildlife Sanctuary in Karnataka,Trekking,Tamil,Miller-Brown Hotel,7293,Rajasthani Laal Maas,Nature
Karnataka,Backwaters in Karnataka,Wildlife Safari,Hindi,Valdez-Coleman Hotel,2602,Prawn Curry,Cultural
Karnataka,Temple in Karnataka,Boating,Konkani,White and Sons Hotel,2183,Chole Bhature,Adventure
Karnataka,Backwaters in Karnataka,Cultural Dance,English,"Taylor, Salinas and Wilson Hotel",2043,Dosa,Romantic
Karnataka,Wildlife Sanctuary in Karnataka,Boating,Malayalam,Martinez Group Hotel,9741,Idiyappam,Religious
Karnataka,Hill Station in Karnataka,Wildlife Safari,English,Evans Group Hotel,6923,Idiyappam,Religious
Karnataka,Hill Station in Karnataka,Trekking,Hindi,Herring-Vargas Hotel,3201,Prawn Curry,Nature
Karnataka,Backwaters in Karnataka,Shopping,Tamil,Carr-May Hotel,8717,Dosa,Romantic
Karnataka,Hill Station in Karnataka,Wildlife Safari,Hindi,Peterson-Mendez Hotel,8462,Chole Bhature,Religious
Karnataka,Hill Station in Karnataka,Camping,Malayalam,"Kemp, Foley and Scott Hotel",7389,Chole Bhature,Adventure
Karnataka,Temple in Karnataka,Trekking,Konkani,"Cruz, Gentry and Powers Hotel",4944,Idiyappam,Romantic
Karnataka,Hill Station in Karnataka,Cultural Dance,Hindi,Hanson and Sons Hotel,9284,Prawn Curry,Romantic
Karnataka,Beach in Karnataka,Historical Tour,Punjabi,"Luna, Gilbert and Black Hotel",3255,Thali,Wildlife
Karnataka,Backwaters in Karnataka,Cultural Dance,Konkani,Yang-Garza Hotel,6751,Seafood,Wildlife
Karnataka,Fort in Karnataka,Trekking,English,Espinoza-Logan Hotel,8979,Prawn Curry,Romantic
Karnataka,Backwaters in Karnataka,Camping,Konkani,Marquez and Sons Hotel,7824,Idiyappam,Romantic
Karnataka,Fort in Karnataka,Wildlife Safari,Tamil,"Hall, Davis and Edwards Hotel",9929,Idiyappam,Religious
Karnataka,Wildlife Sanctuary in Karnataka,Cultural Dance,Marathi,Taylor LLC Hotel,2498,Chole Bhature,Adventure
Karnataka,Temple in Karnataka,Wildlife Safari,Punjabi,Black Group Hotel,3676,Idiyappam,Historical
Karnataka,Palace in Karnataka,Camping,Konkani,Garcia-Roberts Hotel,8863,Rajasthani Laal Maas,Religious
Karnataka,Hill Station in Karnataka,Historical Tour,English,Velasquez Group Hotel,2096,Idiyappam,Nature
Karnataka,Wildlife Sanctuary in Karnataka,Cultural Dance,Marathi,Brown-Fry Hotel,7747,Rajasthani Laal Maas,Adventure
Karnataka,Beach in Karnataka,Camping,English,Brown and Sons Hotel,4837,Idiyappam,Romantic
Karnataka,Backwaters in Karnataka,Boating,Marathi,"Smith, Martinez and Walker Hotel",8865,Seafood,Romantic
Karnataka,Beach in Karnataka,Boating,Marathi,"Hernandez, Richardson and Butler Hotel",3190,Seafood,Nature
Karnataka,Backwaters in Karnataka,Cultural Dance,Marathi,Patrick PLC Hotel,9691,Thali,Historical
Karnataka,Wildlife Sanctuary in Karnataka,Boating,Marathi,Smith LLC Hotel,4942,Seafood,Romantic
Karnataka,Wildlife Sanctuary in Karnataka,Wildlife Safari,Hindi,Torres Inc Hotel,4974,Seafood,Religious
Karnataka,Palace in Karnataka,Trekking,Konkani,Nguyen Ltd Hotel,3416,Thali,Religious
Karnataka,Beach in Karnataka,Boating,Hindi,Johnson-Wolfe Hotel,1766,Thali,Wildlife
Karnataka,Fort in Karnataka,Historical Tour,Tamil,"Mack, Morgan and Hodges Hotel",8610,Dosa,Nature
Karnataka,Palace in Karnataka,Trekking,Marathi,"Green, Jennings and Frank Hotel",9378,Rajasthani Laal Maas,Historical
Karnataka,Palace in Karnataka,Trekking,Marathi,Kaufman-Lin Hotel,2869,Idiyappam,Adventure
Karnataka,Beach in Karnataka,Camping,Tamil,Brown Ltd Hotel,3022,Chole Bhature,Nature
Karnataka,Backwaters in Karnataka,Boating,Marathi,Vasquez LLC Hotel,6240,Chole Bhature,Wildlife
Karnataka,Beach in Karnataka,Cultural Dance,Hindi,Choi and Sons Hotel,9861,Idiyappam,Nature
Karnataka,Wildlife Sanctuary in Karnataka,Historical Tour,Malayalam,"Murray, Fisher and Rodriguez Hotel",8399,Idiyappam,Cultural
Karnataka,Wildlife Sanctuary in Karnataka,Shopping,Marathi,Hester and Sons Hotel,3765,Seafood,Adventure
Karnataka,Hill Station in Karnataka,Historical Tour,Konkani,Sandoval-Ward Hotel,6683,Idiyappam,Wildlife
Karnataka,Wildlife Sanctuary in Karnataka,Trekking,Hindi,Simmons Inc Hotel,1559,Seafood,Wildlife
Karnataka,Wildlife Sanctuary in Karnataka,Trekking,Tamil,"Harris, Johnson and Gomez Hotel",8123,Seafood,Nature
Karnataka,Hill Station in Karnataka,Shopping,Konkani,Johnson Group Hotel,6070,Chole Bhature,Wildlife
Karnataka,Fort in Karnataka,Historical Tour,Tamil,"Lam, Simpson and Wilkins Hotel",2721,Chole Bhature,Nature
Karnataka,Backwaters in Karnataka,Trekking,Tamil,Evans-Edwards Hotel,8591,Rajasthani Laal Maas,Historical
Karnataka,Temple in Karnataka,Camping,Hindi,"King, Walton and Thomas Hotel",2709,Thali,Wildlife
Karnataka,Temple in Karnataka,Camping,Malayalam,Davis-Hernandez Hotel,2917,Rajasthani Laal Maas,Nature
Karnataka,Backwaters in Karnataka,Shopping,English,"Trujillo, Harris and Barnett Hotel",6123,Thali,Cultural
Karnataka,Temple in Karnataka,Wildlife Safari,Malayalam,"Glover, Page and Alvarez Hotel",3147,Dosa,Romantic
Karnataka,Wildlife Sanctuary in Karnataka,Wildlife Safari,Malayalam,Sanchez-Lawrence Hotel,9191,Thali,Romantic
Kerala,Fort in Kerala,Trekking,Malayalam,Stevens-Hunter Hotel,4689,Dosa,Historical
Kerala,Fort in Kerala,Boating,Malayalam,Villarreal LLC Hotel,3807,Dosa,Romantic
Kerala,Backwaters in Kerala,Wildlife Safari,Marathi,"Anderson, Daniel and Henry Hotel",8139,Seafood,Historical
Kerala,Fort in Kerala,Historical Tour,Konkani,Underwood Group Hotel,1752,Prawn Curry,Religious
Kerala,Fort in Kerala,Historical Tour,Marathi,Martinez PLC Hotel,3438,Dosa,Romantic
Kerala,Backwaters in Kerala,Cultural Dance,Punjabi,Wall-Hall Hotel,9451,Idiyappam,Romantic
Kerala,Palace in Kerala,Camping,Hindi,Austin LLC Hotel,7578,Idiyappam,Romantic
Kerala,Temple in Kerala,Boating,Malayalam,"Harris, Gray and Scott Hotel",8930,Idiyappam,Nature
Kerala,Fort in Kerala,Historical Tour,Tamil,"Thompson, Franco and Foster Hotel",1882,Rajasthani Laal Maas,Romantic
Kerala,Beach in Kerala,Boating,Hindi,Gray PLC Hotel,2925,Seafood,Historical
Kerala,Backwaters in Kerala,Shopping,Malayalam,Lindsey-Hicks Hotel,8947,Idiyappam,Wildlife
Kerala,Fort in Kerala,Wildlife Safari,Marathi,Huynh PLC Hotel,4560,Dosa,Nature
Kerala,Hill Station in Kerala,Trekking,Marathi,Norman-Lucero Hotel,1595,Idiyappam,Romantic
Kerala,Hill Station in Kerala,Boating,Hindi,Ray-Horn Hotel,9052,Chole Bhature,Adventure
Kerala,Fort in Kerala,Camping,Hindi,Harrison LLC Hotel,9045,Dosa,Historical
Kerala,Hill Station in Kerala,Cultural Dance,Hindi,"Roman, Camacho and Walker Hotel",3760,Dosa,Adventure
Kerala,Temple in Kerala,Wildlife Safari,English,Perez PLC Hotel,2722,Thali,Romantic
Kerala,Backwaters in Kerala,Shopping,Konkani,Hood-Miller Hotel,3870,Chole Bhature,Nature
Kerala,Fort in Kerala,Cultural Dance,Marathi,"Sexton, Hardin and Morales Hotel",8099,Seafood,Historical
Kerala,Hill Station in Kerala,Boating,English,"Lee, Powers and Garcia Hotel",3808,Prawn Curry,Historical
Kerala,Hill Station in Kerala,Wildlife Safari,Marathi,Griffin Inc Hotel,2719,Dosa,Nature
Kerala,Wildlife Sanctuary in Kerala,Cultural Dance,Malayalam,Wilson Inc Hotel,7503,Chole Bhature,Religious
Kerala,Palace in Kerala,Shopping,Marathi,"Anderson, Hall and Dawson Hotel",7178,Rajasthani Laal Maas,Adventure
Kerala,Hill Station in Kerala,Historical Tour,Konkani,Miller LLC Hotel,2243,Chole Bhature,Historical
Kerala,Wildlife Sanctuary in Kerala,Wildlife Safari,English,Peck and Sons Hotel,1547,Idiyappam,Romantic
Kerala,Beach in Kerala,Boating,Konkani,Walker-Rivera Hotel,7515,Dosa,Cultural
Kerala,Palace in Kerala,Cultural Dance,Marathi,"Cohen, Cabrera and Foster Hotel",1795,Rajasthani Laal Maas,Nature
Kerala,Palace in Kerala,Cultural Dance,Tamil,Fisher Inc Hotel,5097,Rajasthani Laal Maas,Adventure
Kerala,Temple in Kerala,Camping,Hindi,Alvarado-Ramos Hotel,9026,Seafood,Religious
Kerala,Wildlife Sanctuary in Kerala,Boating,Malayalam,"Nguyen, Kirk and Gillespie Hotel",9200,Seafood,Romantic
Kerala,Beach in Kerala,Wildlife Safari,Marathi,"Hammond, Palmer and Green Hotel",6875,Rajasthani Laal Maas,Cultural
Kerala,Hill Station in Kerala,Trekking,Hindi,Porter and Sons Hotel,2957,Dosa,Romantic
Kerala,Backwaters in Kerala,Shopping,Marathi,Austin Group Hotel,4494,Seafood,Wildlife
Kerala,Hill Station in Kerala,Cultural Dance,Tamil,Walton and Sons Hotel,5438,Thali,Religious
Kerala,Temple in Kerala,Trekking,Tamil,"Payne, Campbell and Dunn Hotel",7613,Thali,Historical
Kerala,Palace in Kerala,Trekking,Konkani,Holmes and Sons Hotel,7257,Prawn Curry,Wildlife
Kerala,Backwaters in Kerala,Shopping,Hindi,"Gardner, Ross and Klein Hotel",2998,Thali,Romantic
Kerala,Hill Station in Kerala,Trekking,Marathi,Oliver-Graham Hotel,4416,Idiyappam,Historical
